"file_name","size_bytes","size_mb","sha256","modified_at"
"KhoLuuTru_V4_Server_Setup_FIXED.exe","5120912","4.88","dd93885f54ed836482e35d8325a3c389492169586c6e9507f2f5995788ca95f9","2026-07-31T10:31:24.2616762+07:00"
"KhoLuuTru_V4_Server_Setup_FIXED-1.bin","1994878976","1902.46","c24557f148bb5b0898075e80c2bf09aa5b5436c5bbe671ae93d1bceecbd05bed","2026-07-31T10:24:40.0183670+07:00"
"KhoLuuTru_V4_Server_Setup_FIXED-2.bin","2000000000","1907.35","b4439bd369b4f75ed3d566976abba032cddfa2a3b2be382c7abb1ed31379730a","2026-07-31T10:29:47.8747615+07:00"
"KhoLuuTru_V4_Server_Setup_FIXED-3.bin","2000000000","1907.35","bd2b79e59d4083d2bd0951af3b0d8e634fb15ce89e4ccfbeef9eadbfa9e951e4","2026-07-31T10:30:48.5248891+07:00"
"KhoLuuTru_V4_Server_Setup_FIXED-4.bin","670765247","639.69","15c88c6d70c60a9047c90d0b403a56eca27146d117a99efc1d4ca49242e60f71","2026-07-31T10:31:22.6574669+07:00"
"KhoLuuTru_V4_Client_Setup_FIXED.exe","2101836","2","9ba51bf9033a7bc7d469f7dcf31fab132c2637aa3b649bcf7a4c6885bd435537","2026-07-31T09:55:26.3822212+07:00"
